Title,Official Name,Date
Azerbaijan National Day,Mike Pompeo,5/27/18
Calling Russia To Account for Malaysia Airlines Flight MH-17,Heather Nauert,5/25/18
Information Quality Act,,4/25/17
On the Occasion of the Federal Democratic Republic of Ethiopia's National Day,Mike Pompeo,5/27/18
Long Overdue Freedom for Joshua Holt in Venezuela,Mike Pompeo,5/26/18
Assad Regime Intentions in the Southwest De-escalation Zone,Heather Nauert,5/25/18
Colombian Accession to the Organization for Economic Cooperation and Development,Heather Nauert,5/25/18
Georgia National Day,Mike Pompeo,5/25/18
Deputy Secretary John J. Sullivan and Administrator Mark Green's Meeting With International Non-Governmental Organizations and United Nations Agencies,,5/25/18
General Elections in Barbados,Heather Nauert,5/25/18
Guyana's Independence Day,Mike Pompeo,5/25/18
Secretary Pompeo's Call With Republic of Korea Foreign Minister Kang,,5/25/18
Secretary Pompeo To Release the 2017 International Religious Freedom Report,,5/25/18
Secretary Pompeo's Phone Call With Colombian President Juan Manuel Santos,,5/25/18
On the National Dialogue in Nicaragua,,5/25/18
H-2A Agricultural Worker Visa Modernization Joint Cabinet Statement,,5/24/18
Full Committee Hearing Review of the FY 2019 State Department Budget Request,Mike Pompeo,5/24/18
Eritrea National Day,Mike Pompeo,5/24/18
Interview With Setareh Sieg of Voice of America Persian Service,Mike Pompeo,5/24/18
The Shoot Down of Malaysia Airlines Flight MH17,Heather Nauert,5/24/18
Secretary Pompeo's Meeting With German Foreign Minister Heiko Maas,,5/24/18
Deputy Secretary Sullivan's Meeting With Brazilian Presidential Foreign Policy Advisor Fred Arruda,,5/23/18
Responding to Unjustified Diplomatic Actions in Venezuela,Heather Nauert,5/23/18
Remarks With Chinese Foreign Minister and State Councilor Wang Yi at a Press Availability,Mike Pompeo,5/23/18
Secretary Pompeo's Meeting with Japanese Foreign Minister Taro Kono,,5/23/18
"Strengthening American Diplomacy: Reviewing the State Department's Budget, Operations, and Policy Priorities",Mike Pompeo,5/23/18
Ambassador Deborah L. Birx Travel to Geneva,,5/22/18
Conviction of Tashi Wangchuk,Heather Nauert,5/22/18
Department of State Announces Additional $7 Million To Combat Ebola in D.R.C.,,5/22/18
Deputy Assistant Secretary for the Bureau of Conflict and Stabilization Operations Pete Marocco Travels to Albania and Germany,,5/22/18
Deputy Secretary Sullivan's Meeting With Brazilian Deputy Foreign Minister Marcos Galvao,,5/22/18
Joint Statement of the Second U.S.-Mongolia Economic Policy Dialogue,,5/22/18
Launching Negotiations to Modernize the Columbia River Treaty Regime,,5/22/18
U.S.-Brazil Bilateral Cooperation,,5/22/18
Remarks at a Press Availability,Mike Pompeo,5/22/18
Section 508 Accessibility Statement,,4/28/17
After the Deal: A New Iran Strategy,Mike Pompeo,5/21/18
NO FEAR Act For 4th Quarter 2017,,9/30/17
"An Unfair, Unfree Vote in Venezuela ",Mike Pompeo,5/21/18
Assistant Secretary Kevin E. Moley Travel to Geneva,,5/21/18
"Assistant Secretary Mitchell Travel to Wiesbaden, Budapest, and Bratislava",,5/21/18
Deputy Secretary John J. Sullivan's Meeting With Saudi Foreign Minister al-Jubeir,,5/21/18
Deputy Secretary Sullivan's Meeting With Australian Foreign Minister Julie Bishop,,5/21/18
Deputy Secretary Sullivan's Meeting With Indian Minister of State for External Affairs VK Singh,,5/21/18
Deputy Secretary Sullivan's Meeting With South African Minister of International Relations and Cooperation Lindiwe Sisulu,,5/21/18
Referendum in Burundi,Heather Nauert,5/21/18
Remarks at the 2018 Plenary Session of the U.S.-Georgia Strategic Partnership,Mike Pompeo,5/21/18
Secretary Pompeo's Meeting With Greek Foreign Minister Nikos Kotzias,,5/21/18
Secretary Pompeo's Meeting With Polish Foreign Minister Czaputowicz,,5/21/18
The State Department Hosts Mongolian Foreign Minister Tsogtbaatar Damdin,,5/21/18
Deputy Secretary Sullivan's Meeting With Argentine Foreign Minister Faurie,,5/20/18
Deputy Secretary Sullivan's Meeting With Republic of Korea Vice Foreign Minister Cho,,5/20/18
Deputy Secretary Sullivan's Meeting With Mexican Foreign Secretary Videgaray,,5/20/18
Deputy Secretary Sullivan's Meeting with Indonesian Foreign Minister Retno L.P. Marsudi,,5/20/18
On the Death of Pakistani Exchange Student Sabika Sheikh,Mike Pompeo,5/19/18
"Ambassador Tina Kaidanow, Principal Deputy Assistant Secretary of State for Political-Military Affairs, Travels to Germany, Japan, India, and Singapore",,5/18/18
Briefing on Iran,Brian Hook,5/18/18
On the Passing of Bernard Lewis,Mike Pompeo,5/20/18
Joint U.S.-EC Workshop Strengthens Cooperation To Counter Nuclear Smuggling,,5/18/18
Cameroon National Day,Mike Pompeo,5/18/18
Remarks With Dutch Foreign Minister Stephanus Blok Before Their Meeting,Mike Pompeo,5/18/18
Secretary Pompeo's Call With African Union Chairperson Moussa Faki Mahamat,,5/18/18
Secretary Pompeo's Call With Brazilian Foreign Minister Aloysio Nunes Ferreira,,5/18/18
Secretary Pompeo's Call With Ethiopian Prime Minister Abiy Ahmed,,5/18/18
Secretary Pompeo To Deliver Remarks on U.S. Policy on Iran at The Heritage Foundation,,5/18/18
Secretary Pompeo's Meeting With Dutch Foreign Minister Blok,,5/18/18
Secretary Pompeo's Call With Kenyan President Uhuru Kenyatta,,5/18/18
United Arab Emirates: Record of Discussion on Civil Aviation,,5/18/18
Secretary Pompeo's Meeting With UN Special Envoy of the Secretary-General for Yemen Martin Griffiths,,5/18/18
2018 U.S.-Vietnam Human Rights Dialogue,,5/17/18
Assistant Secretary of State for Consular Affairs Carl Risch Travels to the Republic of Korea and China,,5/17/18
Canada Joins the Global Equality Fund,,5/17/18
Close of Candidate Registration Period for Cambodia's National Elections,Heather Nauert,5/17/18
Deputy Secretary Sullivan Travel to Argentina and Brazil,,5/17/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"On the International Day Against Homophobia, Transphobia, and Biphobia",Mike Pompeo,5/17/18
Remarks With Uzbekistan President of Shavkat Mirziyoye Before Their Meeting,Mike Pompeo,5/17/18
"Report of the OPCW Fact-Finding Mission in Syria Regarding an Alleged Incident in Saraqib, Syrian Arab Republic on 4 February 2018",Heather Nauert,5/17/18
Secretary Pompeo's Call With Afghan President Ashraf Ghani,,5/17/18
Secretary Pompeo's Call With Nigerian President Buhari,,5/17/18
Secretary Pompeo's Meeting With Uzbekistan President Shavkat Mirziyoyev,,5/17/18
Secretary Pompeo's Phone Call With Swedish Foreign Minister Margot Wallstrom,,5/17/18
"The Bureau of Overseas Buildings Operations Breaks Ground on the New U.S. Embassy Annex in Nairobi, Kenya",,5/17/18
Briefing on the Release of New HIV Treatment Results From the President's Emergency Plan for AIDS Relief on its 15th Anniversary,,5/16/18
Landmark U.S.-Uzbekistan Agreements Signed on Education and Culture ,,5/16/18
Release of Anwar Ibrahim,Heather Nauert,5/16/18
Norway National Day,Mike Pompeo,5/16/18
Secretary Pompeo's Call With Qatari Foreign Minister Al Thani,,5/16/18
Secretary Pompeo's Call With Singaporean Foreign Minister Vivian Balakrishnan,,5/16/18
"Secretary Pompeo's Phone Call With Edgars Rinkevics, Minister of Foreign Affairs of the Republic of Latvia",,5/16/18
State Department Terrorist Designations of ISIS in the Greater Sahara (ISIS-GS) and Adnan Abu Walid al-Sahrawi,,5/16/18
Chinese Government's Harassment of Early Rain Covenant Church,Heather Nauert,5/15/18
The Opening of the Kerch Bridge in Crimea,Heather Nauert,5/15/18
New U.S.-Morocco Plan of Action Promotes Innovation in Waste Management and Pollution Mitigation,,5/14/18
On the Occasion of Ramadan,Mike Pompeo,5/15/18
On the Opening of U.S. Embassy Jerusalem ,Mike Pompeo,5/14/18
Oppression of Baha'is in Yemen,Heather Nauert,5/14/18
Paraguay National Day,Mike Pompeo,5/14/18
Remarks With United Arab Emirates Foreign Minister Sheikh Abdullah bin Zayed Al-Nahyan Before Their Meeting,Mike Pompeo,5/14/18
Remarks at the Dedication Ceremony of the U.S. Embassy in Jerusalem,John J. Sullivan,5/14/18
"Secretary Pompeo's Calls With French Foreign Minister Le Drian, UK Foreign Secretary Johnson, and German Foreign Minister Maas",,5/14/18
Secretary Pompeo's Meeting With Foreign Minister Sheikh Abdullah bin Zayed Al Nahyan of the United Arab Emirates,,5/14/18
Secretary Pompeo's Participation in a Meeting of the Lima Group,,5/14/18
Timor-Leste Parliamentary Elections,Heather Nauert,5/14/18
U.S.-Brazil Bilateral Cooperation on Cyber and Internet Policy,,5/14/18
Interview With Chris Wallace of Fox News Sunday,Mike Pompeo,5/13/18
Iraqi Parliamentary Election,Mike Pompeo,5/12/18
United Arab Emirates: Discussions Seek Level Playing Field,,5/14/18
Interview With Margaret Brennan of CBS Face the Nation,Mike Pompeo,5/13/18
Acting Assistant Secretary for East Asian and Pacific Affairs Susan Thornton Travels to China and Japan,,5/11/18
Condemning Violence in Nicaragua,Heather Nauert,5/11/18
Congratulations to State Department Employees Hoa Thi Tran and the Asia Assistance Team as 2018 Service to America Medal Finalist,,5/11/18
Briefing on the Opening of the U.S. Embassy in Jerusalem,David Melech Friedman,5/11/18
Remarks With Canadian Foreign Minister Chrystia Freeland Before Their Meeting,Mike Pompeo,5/11/18
Remarks With Republic of Korea Foreign Minister Kang Kyung-wha at a Press Availability,Mike Pompeo,5/11/18
Under Secretary Andrea L. Thompson Travels to France and the United Kingdom,,5/11/18
U.S. Embassy Jerusalem Dedication Ceremony,,5/11/18
New All-Cargo Rights Added to U.S.-Jamaica Air Transport Agreement,,5/10/18
The Bureau of Overseas Buildings Operations Announces the Final Selection for Special Architecture/Engineering Services IDIQ Contract,,5/10/18
Remarks With Chilean Foreign Minister Roberto Ampuero Espinoza Before Their Meeting,John J. Sullivan,5/10/18
"Addressing the Challenge of Returning Families of Foreign Terrorist Fighters: Workshop Held in Bali, Indonesia",,5/9/18
Malaysian General Election,Heather Nauert,5/9/18
On the Occasion of Europe Day,Mike Pompeo,5/9/18
Remarks to the Traveling Press,Mike Pompeo,5/9/18
Statement From the Freed Americans,,5/9/18
Background Briefing On Secretary Pompeo's Travel To Meet With Representatives From the Democratic People's Republic of North Korea,,5/8/18
On President Trump's Decision to Withdraw From the JCPOA,Mike Pompeo,5/8/18
Election of Nikol Pashinyan as Prime Minister of Armenia,Heather Nauert,5/8/18
Situation on the Yemeni Island of Socotra,Heather Nauert,5/9/18
Remarks to the Traveling Press,Mike Pompeo,5/8/18
Background Briefing on President Trump's Decision To Withdraw From the JCPOA,,5/8/18
Annual Greening Diplomacy Initiative Award Winners Announced,,5/7/18
Deputy Secretary Sullivan To Deliver Opening Keynote Remarks at the 48th Annual Washington Conference on the Americas,,5/7/18
Closure of Controlled Crossing Points in Russian Occupied Georgian Territory of South Ossetia,Heather Nauert,5/8/18
U.S. Congratulates Tunisians on Municipal Elections,Heather Nauert,5/7/18
Secretary Pompeo's Phone Call With Chinese Politburo Member Yang Jiechi,,5/5/18
Remarks at the American Foreign Service Association (AFSA) Memorial Plaque Ceremony,Mike Pompeo,5/4/18
Remarks at the Department of State's Foreign Affairs Day,Mike Pompeo,5/4/18
Secretary Pompeo To Deliver Remarks at the Foreign Affairs Day Celebration and Attend the AFSA Memorial Plaque Ceremony on May 4,,5/3/18
World Press Freedom Day,Mike Pompeo,5/3/18
Poland National Day,Mike Pompeo,5/3/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Attack on Libyan High National Elections Commission,Heather Nauert,5/2/18
On the Occasion of North Korea Freedom Week,Heather Nauert,5/2/18
The Global Engagement Center's Technology Series To Counter Foreign Propaganda and Disinformation,,5/2/18
Remarks at Swearing-in Ceremony,Mike Pompeo,5/2/18
Deputy Secretary Sullivan's Meeting With Nigerian Foreign Minister Geoffrey Onyeama,,5/1/18
Launching of Operations To Liberate Final ISIS Strongholds in Syria,Heather Nauert,5/1/18
Proposed Constitutional Amendments in Burundi,Heather Nauert,5/1/18
"U.S. Department of State Hosts ""Why Air Quality Monitoring Matters"" Discussion and Inducts First U.S. Embassy Monitor Into Permanent Collection",,5/1/18
U.S.-Honduras Bilateral Human Rights Working Group,,5/1/18
Welcome Remarks to Employees,Mike Pompeo,5/1/18
Iran Atomic Archive,Mike Pompeo,4/30/18
Remarks on Iran Atomic Archive,Mike Pompeo,4/30/18
Secretary Pompeo's Meeting With Japanese Foreign Minister Taro Kono,,4/30/18
Press Availability With Jordanian Foreign Minister Ayman Safadi,Mike Pompeo,4/30/18
Secretary Pompeo's Meeting With His Majesty King Abdullah II of Jordan,,4/30/18
Secretary Pompeo To Deliver Remarks to State Department Employees,,4/30/18
Secretary Pompeo's Meeting With Jordanian Foreign Minister Safadi,,4/30/18
Terrorist Attack in Kabul,Mike Pompeo,4/30/18
